id,Name,Tags,Price,Area,City,Rating,Link
59465cb6-4628-4cfc-a32b-ce7f86a115b5,Hot Shots Cafe,"Pasta, Chinese",50 for one,,Barabanki,3.6,https://www.zomato.com//barabanki/hot-shots-cafe-barabanki-locality/order
5fa2a977-a066-46bc-9f5f-4075040d9cb1,Ashu Eating Point,"Rolls, Biryani",50 for one,,Barabanki,-,https://www.zomato.com//barabanki/ashu-eating-point-barabanki-locality/order
6ca2690f-6533-49bc-af77-0ea20bc41dfd,Velvet Lounge & Restaurant,"Chinese, Fast Food, Pizza, Burger, Beverages",50 for one,,Barabanki,3.7,https://www.zomato.com//barabanki/velvet-lounge-restaurant-barabanki-locality/order
9a4e1559-eebd-4da9-a657-cbb4ac5bac11,Nepali Momos,"Momos, Chinese",50 for one,,Barabanki,-,https://www.zomato.com//barabanki/nepali-momos-barabanki-locality/order
d3dd674c-6764-4932-8c55-87fe42fbb099,Saraswati Namkeen And Cookies,"Bakery, Fast Food",50 for one,,Barabanki,3.3,https://www.zomato.com//barabanki/saraswati-namkeen-and-cookies-barabanki-locality/order
9c2aa1c2-f120-43d3-a726-9438564eb87d,Regal Bites,"North Indian, Chinese, Fast Food",50 for one,,Barabanki,4.0,https://www.zomato.com//barabanki/regal-bites-barabanki-locality/order
3d07cd14-c374-4aff-8c97-e014a0aec5da,Shivay Fast Food,Chinese,50 for one,,Barabanki,-,https://www.zomato.com//barabanki/shivay-fast-food-barabanki-locality/order
d3e2f2ad-a843-4166-9f7a-67da8f7f69a8,Rajdhani Thaal,North Indian,50 for one,,Barabanki,-,https://www.zomato.com//barabanki/rajdhani-thaal-barabanki-locality/order
a948b23e-cbe0-4c91-82f5-64cd2da27901,Sadasukh Bakery,Bakery,50 for one,,Barabanki,-,https://www.zomato.com//barabanki/sadasukh-bakery-2-barabanki-locality/order
1cae9f80-d85c-4a2f-8eff-484fdd9c2641,Tasty Bite Restaurant,"North Indian, Chinese, Fast Food, South Indian, Desserts, Beverages",150 for one,,Barabanki,4.0,https://www.zomato.com//barabanki/tasty-bite-restaurant-2-barabanki-locality/order
b90385b2-1b6c-4800-9001-5f3d361158a2,Domino's Pizza,"Pizza, Fast Food",150 for one,,Barabanki,4.5,https://www.zomato.com//barabanki/dominos-pizza-barabanki-locality/order
1f3f71a9-fec7-4f3e-bc13-03974b99800a,Trend Cafe,"Fast Food, Beverages, Italian, Chinese, North Indian, Desserts,",150 for one,,Barabanki,4.4,https://www.zomato.com//barabanki/trend-cafe-barabanki-locality/order
96b825c7-7ce9-44cf-b996-795cde034032,Chai Ganj,"Beverages, Tea, Coffee, Chinese, Momos",150 for one,,Barabanki,4.0,https://www.zomato.com//barabanki/chai-ganj-barabanki-locality/order
b4f9f46c-c7a7-4c96-b235-e6fc119c527c,Ashok Dosa Shop,South Indian,150 for one,,Barabanki,4.3,https://www.zomato.com//barabanki/ashok-dosa-shop-barabanki-locality/order
8f704523-d446-4fef-a93b-cd9e30a959d8,Gupta Bhojanalaya,North Indian,150 for one,,Barabanki,4.1,https://www.zomato.com//barabanki/gupta-bhojanalaya-barabanki-locality/order
